alpha,train_accuracy,test_accuracy,precision,recall
0.01,0.9905723905723905,0.9775583482944344,0.9305555555555556,0.8993288590604027
0.05,0.990347923681257,0.9802513464991023,0.9319727891156463,0.9194630872483222
0.1,0.9901234567901235,0.9793536804308797,0.9256756756756757,0.9194630872483222
0.5,0.9894500561167228,0.9784560143626571,0.9084967320261438,0.9328859060402684
1.0,0.9892255892255892,0.9775583482944344,0.9025974025974026,0.9328859060402684
